Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,28.39125,-26.869996,90.0,bottom
C2,100nF,C_0402_1005Metric,33.630001,-22.380001,90.0,bottom
C3,100nF,C_0402_1005Metric,38.868751,-22.38,90.0,bottom
C4,100nF,C_0402_1005Metric,44.1075,-22.379999,90.0,bottom
C5,10uF,C_0402_1005Metric,47.8525,-20.401249,0.0,bottom
D1,SK6812MINI-E,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,30.7725,-24.624998,90.0,bottom
D2,SK6812MINI-E,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,36.01125,-24.624998,90.0,bottom
D3,SK6812MINI-E,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,41.25,-24.624998,90.0,bottom
D4,SK6812MINI-E,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,46.48875,-24.624998,90.0,bottom
J1,Conn_01x06,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,52.68,-23.672498,90.0,bottom
R1,330,R_0402_1005Metric,32.20125,-20.223748,0.0,bottom
