Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,235.880003,-77.548754,0.0,bottom
C10,100nF,C_0402_1005Metric,223.775002,-94.133754,0.0,bottom
C11,100nF,C_0402_1005Metric,225.353751,-90.368756,90.0,bottom
C12,100nF,C_0402_1005Metric,229.972503,-87.748754,180.0,bottom
C13,100nF,C_0402_1005Metric,234.760006,-91.160003,90.0,bottom
C14,100nF,C_0402_1005Metric,237.71,-97.08875,180.0,bottom
C15,100nF,C_0402_1005Metric,223.792503,-96.341253,0.0,bottom
C16,1uF,C_0402_1005Metric,220.900004,-81.791254,90.0,bottom
C17,10uF,C_0402_1005Metric,222.720004,-88.448754,180.0,bottom
C18,10uF,C_0402_1005Metric,97.887501,-100.503752,270.0,bottom
C19,100nF,C_0402_1005Metric,97.407501,-98.903752,0.0,bottom
C2,22pF,C_0402_1005Metric,234.598751,-102.311254,90.0,bottom
C20,100nF,C_0402_1005Metric,97.897501,-91.323753,90.0,bottom
C3,22pF,C_0402_1005Metric,225.242505,-103.241252,180.0,bottom
C4,1uF,C_0402_1005Metric,225.242506,-101.241251,0.0,bottom
C5,100nF,C_0402_1005Metric,227.367502,-90.368752,90.0,bottom
C6,100nF,C_0402_1005Metric,230.492501,-89.368755,90.0,bottom
C7,10uF,C_0402_1005Metric,225.242501,-102.241252,0.0,bottom
C8,1uF,C_0402_1005Metric,226.353751,-90.368754,90.0,bottom
C9,100nF,C_0402_1005Metric,223.775001,-93.141254,0.0,bottom
D1,D_Small,D_SOD-123,44.44,-37.99,90.0,bottom
D10,D_Small,D_SOD-123,215.89,-37.99,90.0,bottom
D11,D_Small,D_SOD-123,234.94,-37.99,90.0,bottom
D12,D_Small,D_SOD-123,44.44,-57.04,90.0,bottom
D13,D_Small,D_SOD-123,63.49,-57.04,90.0,bottom
D14,D_Small,D_SOD-123,71.11,-57.04,90.0,bottom
D15,D_Small,D_SOD-123,101.59,-57.04,90.0,bottom
D16,D_Small,D_SOD-123,120.64,-57.04,90.0,bottom
